PAL;0;1;UCO
SWA;3;1;DIQ
OHI;1;4;COU
DLS;0;2;UES
DAN;2;1;COB
CUN;1;3;EVE
CCO;0;1;HUA
UCA;3;0;UCH
ULC;3;2;AIT
OHI;0;2;COB
UES;2;1;CUN
COU;2;2;CCO
DIQ;2;1;AIT
HUA;0;0;DAN
EVE;2;2;SWA
UCA;1;1;UCO
ULC;1;0;PAL
UCH;3;0;DLS
DLS;4;2;PAL
COB;0;1;COU
HUA;1;0;EVE
CCO;3;5;UES
UCO;1;1;DIQ
SWA;0;3;ULC
DAN;1;0;UCH
AIT;2;1;OHI
CUN;3;2;UCA
DIQ;2;0;DLS
ULC;3;0;HUA
OHI;2;2;CUN
SWA;2;1;DAN
COU;0;2;UCO
UCH;2;2;AIT
UES;1;0;COB
EVE;1;1;CCO
PAL;1;4;UCA
COB;1;0;SWA
UCO;1;0;UCH
DAN;3;1;ULC
CCO;0;2;DIQ
HUA;2;0;OHI
CUN;1;0;PAL
AIT;1;2;EVE
COU;1;1;UES
UCA;3;0;DLS
EVE;0;1;OHI
PAL;3;1;CCO
DIQ;1;2;CUN
UES;3;2;ULC
AIT;2;0;COU
UCO;2;0;DAN
DLS;1;0;HUA
UCH;3;0;SWA
UCA;2;1;COB
OHI;1;0;PAL
CUN;2;2;UCO
COB;1;2;DLS
ULC;1;0;UCH
COU;2;1;UCA
DAN;1;1;EVE
HUA;1;1;DIQ
CCO;1;0;AIT
SWA;1;0;UES
COU;1;2;ULC
PAL;1;3;DLS
EVE;1;1;UCH
UCA;5;3;DAN
DIQ;0;0;COB
UCO;0;1;HUA
UES;0;2;OHI
AIT;1;1;SWA
CCO;0;2;CUN
DAN;1;1;PAL
CUN;4;1;AIT
UES;1;1;UCO
COB;1;1;OHI
DLS;1;0;DIQ
HUA;2;2;CCO
SWA;1;1;COU
ULC;6;2;EVE
UCH;0;0;UCA
COB;3;1;UCO
DIQ;1;1;UES
CCO;0;2;DLS
OHI;2;1;HUA
PAL;3;1;ULC
AIT;1;3;UCH
EVE;3;1;CUN
COU;0;1;DAN
UCA;1;1;SWA
UES;1;2;CCO
UCO;3;1;AIT
DLS;1;0;COU
SWA;2;1;EVE
DAN;2;1;HUA
CUN;0;1;COB
ULC;0;1;OHI
UCH;2;2;DIQ
UCA;2;3;PAL
PAL;3;1;SWA
DIQ;4;0;UCO
EVE;1;2;UES
AIT;3;0;DAN
DLS;0;0;UCH
HUA;1;0;CUN
CCO;2;1;COU
COB;1;1;ULC
OHI;2;0;UCA
UCA;0;0;CCO
PAL;1;0;AIT
DAN;1;1;SWA
UCH;2;2;HUA
COU;0;3;OHI
UCO;0;2;DLS
EVE;3;0;COB
ULC;1;2;DIQ
CUN;2;4;UES
SWA;1;0;OHI
UES;1;1;DAN
HUA;0;1;COU
AIT;2;2;UCA
